2025.05.29 06:09:32 WARN  es[][o.e.t.ThreadPool] execution of [ReschedulingRunnable{runnable=org.elasticsearch.monitor.jvm.JvmGcMonitorService$1@24161cb3, interval=1s}] took [6359ms] which is above the warn threshold of [5000ms]
2025.05.29 06:09:31 WARN  es[][o.e.t.ThreadPool] timer thread slept for [10.1h/36670745ms] on absolute clock which is above the warn threshold of [5000ms]
2025.05.29 06:09:37 WARN  es[][o.e.t.ThreadPool] timer thread slept for [20.3s/20386ms] on absolute clock which is above the warn threshold of [5000ms]
2025.05.29 06:09:37 WARN  es[][o.e.t.ThreadPool] timer thread slept for [21.7s/21708369677ns] on relative clock which is above the warn threshold of [5000ms]
2025.05.29 06:09:37 WARN  es[][o.e.t.ThreadPool] execution of [org.elasticsearch.indices.IndicesService$CacheCleaner@757e5295] took [21708ms] which is above the warn threshold of [5000ms]
2025.05.29 06:12:48 WARN  es[][o.e.m.j.JvmGcMonitorService] [gc][young][2488][36] duration [1.9s], collections [1]/[1s], total [1.9s]/[7.9s], memory [235.4mb]->[235.4mb]/[512mb], all_pools {[young] [104mb]->[104mb]/[0b]}{[old] [127.4mb]->[127.4mb]/[512mb]}{[survivor] [3.9mb]->[3.9mb]/[0b]}
2025.05.29 06:12:48 WARN  es[][o.e.m.j.JvmGcMonitorService] [gc][2488] overhead, spent [1.9s] collecting in the last [1s]
2025.05.29 06:16:17 WARN  es[][o.e.m.j.JvmGcMonitorService] [gc][young][2689][37] duration [4.7s], collections [1]/[5.6s], total [4.7s]/[12.6s], memory [143.4mb]->[131.3mb]/[512mb], all_pools {[young] [12mb]->[0b]/[0b]}{[old] [127.4mb]->[130.6mb]/[512mb]}{[survivor] [4mb]->[747.1kb]/[0b]}
2025.05.29 06:16:17 WARN  es[][o.e.m.j.JvmGcMonitorService] [gc][2689] overhead, spent [4.7s] collecting in the last [5.6s]
2025.05.29 06:16:17 WARN  es[][o.e.t.ThreadPool] execution of [ReschedulingRunnable{runnable=org.elasticsearch.monitor.jvm.JvmGcMonitorService$1@24161cb3, interval=1s}] took [5056ms] which is above the warn threshold of [5000ms]
2025.05.29 06:35:51 WARN  es[][o.e.t.ThreadPool] timer thread slept for [11.8m/709143ms] on absolute clock which is above the warn threshold of [5000ms]
2025.05.29 06:54:50 WARN  es[][o.e.t.ThreadPool] timer thread slept for [18.8m/1130099ms] on absolute clock which is above the warn threshold of [5000ms]
